Metric,Subject,Occasion,ReferenceSubject,ReferenceOccasion,PathIndex,PathLength,NormalizedPathPosition,ReferenceOriginalFrameIndex,ReferenceValidFrameIndex,ReferenceNormalizedFramePosition,ReferenceValue,TargetOriginalFrameIndex,TargetValidFrameIndex,TargetNormalizedFramePosition,TargetValue,LocalAbsoluteCost,Comparison_DTWnorm
SFR,E01,Z1,M2025,REF,0,73,0.000000000000,0,0,0.000000000000,27.447391354473,0,0,0.000000000000,4.781048589581,22.666342764892,2.828649647035
SFR,E01,Z1,M2025,REF,1,73,0.013888888889,1,1,0.016666666667,6.104176381052,1,1,0.026315789474,3.803730761882,2.300445619171,2.828649647035
SFR,E01,Z1,M2025,REF,2,73,0.027777777778,2,2,0.033333333333,7.257668029280,2,2,0.052631578947,3.694825605225,3.562842424054,2.828649647035
SFR,E01,Z1,M2025,REF,3,73,0.041666666667,3,3,0.050000000000,7.717222397772,3,3,0.078947368421,4.202621614660,3.514600783113,2.828649647035
SFR,E01,Z1,M2025,REF,4,73,0.055555555556,4,4,0.066666666667,5.088392840397,4,4,0.105263157895,4.410173487627,0.678219352771,2.828649647035
SFR,E01,Z1,M2025,REF,5,73,0.069444444444,4,4,0.066666666667,5.088392840397,5,5,0.131578947368,5.644773364423,0.556380524026,2.828649647035
SFR,E01,Z1,M2025,REF,6,73,0.083333333333,5,5,0.083333333333,9.089836816578,6,6,0.157894736842,7.495275133959,1.594561682619,2.828649647035
SFR,E01,Z1,M2025,REF,7,73,0.097222222222,6,6,0.100000000000,12.503842471894,7,7,0.184210526316,14.937224314781,2.433381842887,2.828649647035
SFR,E01,Z1,M2025,REF,8,73,0.111111111111,6,6,0.100000000000,12.503842471894,8,8,0.210526315789,12.923025627190,0.419183155296,2.828649647035
SFR,E01,Z1,M2025,REF,9,73,0.125000000000,7,7,0.116666666667,15.171999406206,9,9,0.236842105263,15.839302714783,0.667303308577,2.828649647035
SFR,E01,Z1,M2025,REF,10,73,0.138888888889,8,8,0.133333333333,18.201637423284,9,9,0.236842105263,15.839302714783,2.362334708501,2.828649647035
SFR,E01,Z1,M2025,REF,11,73,0.152777777778,9,9,0.150000000000,7.090400977046,10,10,0.263157894737,10.491636778522,3.401235801476,2.828649647035
SFR,E01,Z1,M2025,REF,12,73,0.166666666667,10,10,0.166666666667,15.315925649650,10,10,0.263157894737,10.491636778522,4.824288871128,2.828649647035
SFR,E01,Z1,M2025,REF,13,73,0.180555555556,11,11,0.183333333333,19.864482342887,11,11,0.289473684211,27.115709662038,7.251227319152,2.828649647035
SFR,E01,Z1,M2025,REF,14,73,0.194444444444,12,12,0.200000000000,25.376052344683,11,11,0.289473684211,27.115709662038,1.739657317355,2.828649647035
SFR,E01,Z1,M2025,REF,15,73,0.208333333333,13,13,0.216666666667,18.865416022571,12,12,0.315789473684,15.310915935545,3.554500087026,2.828649647035
SFR,E01,Z1,M2025,REF,16,73,0.222222222222,14,14,0.233333333333,13.426831882901,12,12,0.315789473684,15.310915935545,1.884084052644,2.828649647035
SFR,E01,Z1,M2025,REF,17,73,0.236111111111,15,15,0.250000000000,19.921966701777,13,13,0.342105263158,17.358976429974,2.562990271802,2.828649647035
SFR,E01,Z1,M2025,REF,18,73,0.250000000000,16,16,0.266666666667,17.505453148093,13,13,0.342105263158,17.358976429974,0.146476718119,2.828649647035
SFR,E01,Z1,M2025,REF,19,73,0.263888888889,17,17,0.283333333333,21.256713670566,13,13,0.342105263158,17.358976429974,3.897737240592,2.828649647035
SFR,E01,Z1,M2025,REF,20,73,0.277777777778,18,18,0.300000000000,17.140365111539,13,13,0.342105263158,17.358976429974,0.218611318435,2.828649647035
SFR,E01,Z1,M2025,REF,21,73,0.291666666667,19,19,0.316666666667,23.273312703667,13,13,0.342105263158,17.358976429974,5.914336273693,2.828649647035
SFR,E01,Z1,M2025,REF,22,73,0.305555555556,20,20,0.333333333333,20.042312180220,13,13,0.342105263158,17.358976429974,2.683335750246,2.828649647035
SFR,E01,Z1,M2025,REF,23,73,0.319444444444,21,21,0.350000000000,15.181246930422,13,13,0.342105263158,17.358976429974,2.177729499552,2.828649647035
SFR,E01,Z1,M2025,REF,24,73,0.333333333333,22,22,0.366666666667,21.948910366429,13,13,0.342105263158,17.358976429974,4.589933936455,2.828649647035
SFR,E01,Z1,M2025,REF,25,73,0.347222222222,23,23,0.383333333333,16.990350651854,13,13,0.342105263158,17.358976429974,0.368625778120,2.828649647035
