Subject,SFR_Delta_Z2_minus_Z1,SFR_Sign,SFR_Direction,SFR_Z1_DTWnorm,SFR_Z2_DTWnorm,Q_value_Delta_Z2_minus_Z1,Q_value_Sign,Q_value_Direction,Q_value_Z1_DTWnorm,Q_value_Z2_DTWnorm,Q_value_Status
E01,-0.048278547369,-,approach,2.828649647035,2.780371099667,-3.982404930748,-,approach,15.422978759639,11.440573828891,computed
E02,1.397867283382,+,divergence,2.389893941212,3.787761224594,0.549746833142,+,divergence,12.210709184628,12.760456017770,computed
E03,-2.394325468098,-,approach,5.094629546741,2.700304078642,,NA,not_computed,,,missing_or_no_valid_Z1_series
E04,-0.072166630324,-,approach,2.964137803547,2.891971173223,-5.323655631436,-,approach,19.206858000008,13.883202368572,computed
E05,0.728220390451,+,divergence,2.574559318067,3.302779708518,1.009723564882,+,divergence,12.075403939299,13.085127504181,computed
E06,-1.858530065169,-,approach,4.761469970725,2.902939905557,-10.490172622125,-,approach,24.231447162063,13.741274539938,computed
E07,-1.234500391572,-,approach,3.900765378247,2.666264986675,-10.030557147168,-,approach,25.204074211976,15.173517064807,computed
V01,0.267977647469,+,divergence,2.719483827863,2.987461475331,0.103460656364,+,divergence,14.886112785423,14.989573441787,computed
V02,0.796572549616,+,divergence,2.622563216710,3.419135766326,0.467814691259,+,divergence,10.360510677389,10.828325368649,computed
V03,0.602297879578,+,divergence,2.495533553958,3.097831433536,3.281381618737,+,divergence,11.128142690843,14.409524309580,computed
V04,-1.531439124249,-,approach,4.874503316840,3.343064192591,-1.202796810877,-,approach,10.150240485524,8.947443674647,computed
V05,-1.935981669679,-,approach,5.941107953090,4.005126283412,-0.850317916519,-,approach,12.098830392099,11.248512475580,computed
V06,0.207048063513,+,divergence,2.333338659585,2.540386723098,2.384458259901,+,divergence,7.928511550430,10.312969810331,computed
V07,-1.356431048085,-,approach,4.546590078252,3.190159030167,-1.691957300696,-,approach,11.049348613362,9.357391312666,computed
V08,-4.213778625219,-,approach,7.301217434696,3.087438809477,5.046387740412,+,divergence,9.816167892514,14.862555632926,computed
V09,0.172291381121,+,divergence,2.351167769167,2.523459150288,-3.776018513488,-,approach,14.417560618981,10.641542105493,computed
V10,-0.617579918889,-,approach,4.890409620762,4.272829701873,-0.263817337553,-,approach,14.456970989951,14.193153652399,computed
V11,-0.132351590934,-,approach,3.747712289781,3.615360698847,2.513151872416,+,divergence,9.587331897455,12.100483769872,computed
V12,0.072943239592,+,divergence,3.167095322233,3.240038561825,-1.122218453631,-,approach,14.103688124677,12.981469671045,computed
V13,-0.502848357579,-,approach,3.277005298988,2.774156941408,-0.566944976491,-,approach,10.821948417301,10.255003440810,computed
