Subject,Occasion,FileName,OriginalTotalSamples,FullFramesAnalyzed,SkippedFinalPartialSamples,Alpha_Ratio_dB_N_valid,Alpha_Ratio_dB_Median,CPPS_dB_N_valid,CPPS_dB_Median,H1_H2_dB_N_valid,H1_H2_dB_Median,SFR_percent_N_valid,SFR_percent_Median,SPR_dB_N_valid,SPR_dB_Median,Spectral_Centroid_Hz_N_valid,Spectral_Centroid_Hz_Median,Y_Q_value_N_valid,Y_Q_value_Median
E01,Z1,E01before_tanto-tanto_20141001_02_mono.wav,80996,39,1124,39,3.326847889,39,10.618911,39,2.70468,39,14.9372243148,39,-21.2084519282,39,2211.75610378,20,8.32057996055
E01,Z2,E01after_tanto-tanto_20160401_caro-mio-ben_01_mono.wav,118815,58,31,58,7.935618014,58,10.3501045,58,7.3502845,58,15.558369063,58,-19.0423540198,58,2007.98049892,35,10.5197522933
E02,Z1,E02before_20141001_tanto-tanto_01_44100_mono.wav,92023,44,1911,44,10.693405815,44,10.7889625,44,3.9095045,44,11.7889752358,44,-21.4659986788,44,1578.53459686,27,9.38647962662
E02,Z2,E02after_20160401_tanto-tanto_01_44100_mono.wav,89811,43,1747,43,-5.193827011,43,9.143493,43,-5.2691,43,8.9823945455,43,-24.6063083733,43,1463.0919765,28,11.4675823865
E03,Z1,E03before_tanto-tanto_20220607_caro-mio-ben_02_1__mono.wav,91819,44,1707,44,5.143708089,44,7.7052475,38,-0.8078235,44,4.94605136085,44,-30.5937048861,44,1862.98314081,0,
E03,Z2,E03after_tanto-tanto_20240223_caro-mio-ben_02_mono.wav,97772,47,1516,47,3.155298201,47,8.523621,43,-1.688592,47,9.78457537676,47,-24.1841126611,47,2246.12910783,9,5.06634596559
E04,Z1,E04before_20220607_tanto-tanto_02_mono.wav,115518,56,830,56,6.984012357,56,9.8990295,51,3.139653,56,6.96532717422,56,-28.6613285947,56,1659.1165793,13,7.97564851129
E04,Z2,E04after_20240223_tanto-tanto_02_mono.wav,114514,55,1874,55,3.329429991,55,9.960128,52,3.649136,55,12.2098953644,55,-22.4961496477,55,2050.82267792,17,10.1577661674
E05,Z1,E05before_tanto-tanto_20220531_caro-mio-ben_02_mono.wav,96674,47,418,47,-6.224340361,47,9.185219,42,-8.1114625,47,7.67068860561,47,-27.4103095784,47,1513.3664144,27,20.2355223874
E05,Z2,E05after_tanto-tanto240206_0629caro-2_mono.wav,81223,39,1351,39,-4.744079184,39,10.586714,35,-3.453116,39,18.9249096003,39,-20.3249278317,39,1907.57733526,29,19.5103851213
E06,Z1,E06before_tanto-tanto_20220607_caro-mio-ben_02_mono.wav,97479,47,1223,47,6.132983924,47,7.044885,45,4.324381,47,3.84786556746,47,-33.7064685447,47,1332.06021046,3,4.83090773979
E06,Z2,E06after_tanto-tanto240206_caro-mio-ben_02_mono.wav,110375,53,1831,53,1.96664586,53,9.876996,51,0.212266,53,12.0005401891,53,-21.8611432259,53,2012.28793496,20,7.79314753872
E07,Z1,E07before_tanto-tanto_20220531_caro-mio-ben_02_mono.wav,76817,37,1041,37,-2.723168258,37,7.973257,32,-7.328555,37,6.61640243538,37,-27.8706197367,37,1903.00938314,2,5.29486765313
E07,Z2,E07after_tanto-tanto_240206_caro-mio-ben_02_mono.wav,88541,43,477,43,-2.188370455,43,9.077187,43,-14.549063,43,12.003256496,43,-22.6332306866,43,2018.46440967,21,13.5056184813
M2025,REF,M2025_tanto_tanto_mono.wav,125891,61,963,61,2.385932903,61,10.897748,61,1.617278,61,16.5843924723,61,-18.2056741878,61,1571.26564831,47,22.3843333471
V01,Z1,V01before_20170508_tanto_tanto_02_mono.wav,96227,46,2019,46,2.439040866,46,9.0782375,46,1.1613995,46,6.89635000056,46,-27.8299435469,46,1490.06428069,14,11.7486641346
V01,Z2,V01after_20190408tanto_tanto_02_mono.wav,89893,43,1829,43,-0.6859188488,43,9.643538,43,-2.595166,43,9.60265767694,43,-25.6500302232,43,1584.10777153,26,10.5670410638
V02,Z1,V02before_20220531_tanto_tanto_02_mono.wav,137621,67,405,67,10.01911379,67,8.452266,67,5.890123,67,8.55254256624,67,-25.5035926981,67,1317.95693224,35,10.2547937676
