Subject,CPPS_Z1_dB,CPPS_Z2_dB,Delta_CPPS_dB,AlphaRatio_Z1_dB,AlphaRatio_Z2_dB,Delta_AlphaRatio_dB,H1_H2_Z1_dB,H1_H2_Z2_dB,Delta_H1_H2_dB,SpectralCentroid_Z1_Hz,SpectralCentroid_Z2_Hz,Delta_SpectralCentroid_Hz,SPR_Z1_dB,SPR_Z2_dB,Delta_SPR_dB
E01,9.79,9.33,-0.46,8.62,10.21,1.59,4.69,8.99,4.30,866.19,834.27,-31.92,-21.49,-20.83,0.66
E02,10.13,10.09,-0.04,12.11,-1.31,-13.42,6.40,-3.33,-9.73,775.63,991.92,216.29,-23.34,-24.09,-0.75
E03,7.06,8.19,1.13,6.24,5.06,-1.18,0.71,-0.49,-1.20,595.62,829.31,233.69,-31.22,-25.19,6.03
E04,7.76,8.30,0.54,6.87,7.32,0.45,-1.06,-1.03,0.03,689.46,847.80,158.34,-28.27,-23.77,4.50
E05,7.57,8.78,1.21,1.99,-3.00,-4.99,-9.48,-7.19,2.29,807.92,949.55,141.63,-26.69,-20.53,6.16
E06,7.06,7.83,0.77,6.24,2.17,-4.07,3.48,-1.97,-5.45,621.49,795.22,173.73,-33.36,-22.60,10.76
E07,7.31,9.35,2.04,-0.57,-4.71,-4.14,-6.10,-13.12,-7.02,776.85,1038.94,262.09,-26.51,-23.13,3.38
V01,6.53,5.96,-0.57,6.37,3.40,-2.97,0.58,0.81,0.23,865.43,977.93,112.50,-28.06,-25.56,2.50
V02,9.62,10.40,0.78,13.53,2.92,-10.61,6.50,3.19,-3.31,736.74,938.80,202.06,-25.99,-17.59,8.40
V03,8.44,8.53,0.09,-1.13,2.76,3.89,-2.72,-0.82,1.90,1080.90,1047.76,-33.14,-18.76,-19.78,-1.02
V04,9.33,8.47,-0.86,5.59,-1.19,-6.78,5.31,1.91,-3.40,967.61,1068.18,100.57,-14.91,-16.39,-1.48
V05,8.44,8.49,0.05,-2.08,-0.40,1.68,-3.27,-1.98,1.29,1271.58,1067.43,-204.15,-12.54,-17.65,-5.11
V06,8.06,8.14,0.08,5.05,3.40,-1.65,0.55,-0.30,-0.85,846.71,935.03,88.32,-24.06,-22.65,1.41
V07,8.67,9.13,0.46,2.26,6.08,3.82,1.35,5.62,4.27,1073.23,880.40,-192.83,-12.61,-18.20,-5.59
V08,9.41,9.09,-0.32,3.78,6.41,2.63,2.14,-1.34,-3.48,1306.09,998.32,-307.77,-12.28,-18.43,-6.15
V09,8.25,8.86,0.61,2.66,5.20,2.54,-3.24,-1.26,1.98,1019.83,959.19,-60.64,-27.39,-20.42,6.97
V10,8.61,7.84,-0.77,0.95,-4.35,-5.30,1.84,-2.56,-4.40,1132.73,1105.92,-26.81,-21.30,-21.50,-0.20
V11,8.40,8.49,0.09,2.49,2.25,-0.24,3.68,-0.21,-3.89,1001.55,980.34,-21.21,-17.30,-19.65,-2.35
V12,9.15,9.03,-0.12,5.18,5.73,0.55,2.53,2.95,0.42,878.96,863.95,-15.01,-22.59,-23.01,-0.42
V13,7.57,6.99,-0.58,0.87,2.12,1.25,-3.04,-3.37,-0.33,1079.69,1041.39,-38.30,-18.40,-18.81,-0.41
