Subject,M2025_frames,Z1_frames,Z2_frames,SFR_Z1_cumulative_cost,SFR_Z1_path_length,SFR_Z1_DTWnorm,SFR_Z2_cumulative_cost,SFR_Z2_path_length,SFR_Z2_DTWnorm,Delta_SFR_DTWnorm,Q_Z1_cumulative_cost,Q_Z1_path_length,Q_Z1_DTWnorm,Q_Z2_cumulative_cost,Q_Z2_path_length,Q_Z2_DTWnorm,Delta_Q_DTWnorm,ParticipantMedian,Pattern
E01,138,66,102,115.63025570,146,0.79198805,141.37550054,182,0.77678846,-0.01519959,558.84423969,154,3.62885870,723.42703185,174,4.15762662,0.52876792,1.5,C: mixed/increased distance; median rating >=1
E02,138,74,79,595.55411511,175,3.40316637,733.92971553,171,4.29198664,0.88882027,1640.19439027,177,9.26663497,2123.90711599,180,11.79948398,2.53284900,1.5,C: mixed/increased distance; median rating >=1
E03,138,76,82,1322.56911292,156,8.47800713,601.41040005,177,3.39779887,-5.08020826,3747.05046295,173,21.65925123,3320.62320956,194,17.11661448,-4.54263675,0.5,B: both distances decreased; median rating <1
E04,138,99,98,673.63622591,213,3.16261139,640.72965475,194,3.30273018,0.14011879,2453.49684512,216,11.35878169,2020.88760544,186,10.86498713,-0.49379456,0.5,D: mixed/increased distance; median rating <1
E05,138,81,66,635.63164959,153,4.15445523,53.58022558,150,0.35720150,-3.79725372,688.12519761,161,4.27406955,1085.77664054,161,6.74395429,2.46988474,1.5,C: mixed/increased distance; median rating >=1
E06,138,82,94,1464.80748569,180,8.13781936,292.18165606,174,1.67920492,-6.45861445,2661.23372710,206,12.91861033,1259.15669197,180,6.99531496,-5.92329537,0.0,B: both distances decreased; median rating <1
E07,138,62,73,527.74227617,153,3.44929592,291.50568915,162,1.79941783,-1.64987809,3353.67645077,164,20.44924665,904.20041712,151,5.98808223,-14.46116442,0.0,B: both distances decreased; median rating <1
V01,138,80,74,776.01060589,200,3.88005303,800.08607788,165,4.84900653,0.96895350,2357.08952701,200,11.78544764,2238.52343428,188,11.90703954,0.12159191,2.0,C: mixed/increased distance; median rating >=1
V02,138,120,92,789.85174626,186,4.24651476,496.64231429,193,2.57327624,-1.67323852,2095.94455241,201,10.42758484,401.21484575,173,2.31916096,-8.10842388,1.5,A: both distances decreased; median rating >=1
V03,138,110,88,146.88847859,189,0.77718772,506.01897998,193,2.62186000,1.84467228,1252.70219698,210,5.96524856,1750.73392464,185,9.46342662,3.49817806,2.0,C: mixed/increased distance; median rating >=1
V04,138,87,139,763.16362371,183,4.17029303,444.06003378,229,1.93912679,-2.23116624,1928.60931509,177,10.89609783,1115.84054628,234,4.76854934,-6.12754848,0.5,B: both distances decreased; median rating <1
V05,138,82,81,918.15925967,186,4.93634011,284.46606251,162,1.75596335,-3.18037676,1682.50683442,156,10.78530022,864.74587616,168,5.14729688,-5.63800334,0.5,B: both distances decreased; median rating <1
V06,138,139,86,656.74211307,221,2.97168377,481.16405149,185,2.60088676,-0.37079700,1237.39254836,220,5.62451158,1526.86651491,182,8.38937646,2.76486487,2.0,C: mixed/increased distance; median rating >=1
V07,138,93,94,733.03578115,195,3.75915785,194.95688964,186,1.04815532,-2.71100253,1442.34877202,180,8.01304873,1324.01838179,192,6.89592907,-1.11711966,0.0,B: both distances decreased; median rating <1
V08,138,80,84,878.66855895,180,4.88149199,81.95704572,167,0.49076075,-4.39073124,701.71901760,162,4.33159887,867.89428208,175,4.95939590,0.62779702,0.0,D: mixed/increased distance; median rating <1
V09,138,112,124,710.43602117,226,3.14352222,346.80720469,217,1.59818988,-1.54533233,2240.40561698,225,9.95735830,1397.74561614,227,6.15746967,-3.79988862,1.0,A: both distances decreased; median rating >=1
V10,138,77,80,795.55446845,180,4.41974705,633.54178698,183,3.46197698,-0.95777007,2227.91008343,188,11.85058555,2051.30267399,187,10.96953302,-0.88105253,1.5,A: both distances decreased; median rating >=1
V11,138,92,91,534.29528449,184,2.90377872,387.59991319,188,2.06170167,-0.84207705,1941.89267399,173,11.22481314,1951.21629851,193,10.10992901,-1.11488414,1.0,A: both distances decreased; median rating >=1
V12,138,77,66,378.10110610,170,2.22412415,633.07852562,168,3.76832456,1.54420040,1660.06122408,180,9.22256236,2261.53691131,185,12.22452384,3.00196149,0.0,D: mixed/increased distance; median rating <1
V13,138,71,75,198.81886893,163,1.21974766,116.00317869,155,0.74840760,-0.47134006,696.48149182,155,4.49342898,674.81581480,161,4.19140258,-0.30202640,1.0,A: both distances decreased; median rating >=1
